"CID","SMILES"
645775,"CC1=CC(=CC=C1)NC(=O)C2CCCN(C2)C3=NC(=CC(=N3)C)C"
645792,"CCC1=NN=C(S1)NC(=O)CSC2=NN=C(N2C)C3=CC=CO3"
5767144,"CC1=NN(C=C1CNC(=O)C2=CC3=NC(CC(N3N2)C(F)(F)F)C4=CC=CS4)C"
645889,"CCOC1=CC=C(C=C1)N2C(=O)CC(C2=O)SC3=C(C(=CC(=N3)C)C)C#N"
645900,"CC1=C(C(=CC=C1)C)NC(=O)CSC2=NN=C(N2CC3=CC=CO3)C4=CC=NC=C4"
645924,"C1COCCN1CCNC2=NC=NC3=C2N=NN3CC4=CC=CC=C4"
6603568,"CCN1C(=O)C2=CC=CC=C2C(=N1)CC(=O)NCCN(CC)CC.Cl"
646143,"C1CC1NS(=O)(=O)C2=CC=C(C=C2)S(=O)(=O)N3CCN(CC3)C(=O)C4=CC=CO4"
646166,"CN1C2=C(C=C1C(=O)OCC(=O)NCCC3=CC=CC=C3)SC=C2"
646199,"C1COCCN1CN2C(=O)C3C(C2=O)C4C5=CC=CC=C5C3C6=CC=CC=C46"
646415,"CCC(=O)N1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)CC)F"
646521,"COC1=C(C=C(C=C1)CCNS(=O)(=O)C2=CC=C(C=C2)F)OC"
646632,"COC1=C(C=C(C=C1)CCNC(=O)CSC2=NN=C(O2)C3=CC(=CC=C3)F)OC"
646849,"CC1=C(C(=NO1)C)C(=O)OC(C2=CC=C(C=C2)F)C(=O)NC3CCCC3"
647028,"C1CC(N(C1)S(=O)(=O)C2=CC3=C(CCC3)C=C2)C(=O)O"
647239,"CCCN1C2=C(N=C1SCC(=O)NCC3=CC=CS3)N(C(=O)N(C2=O)C)C"
647298,"CCCS(=O)(=O)N1CCN(CC1)CCCC2=CC=CC=C2.C(=O)(C(=O)O)O"
647377,"CC1=CC(=CC(=C1)N(CC(=O)NCC2=CN=CC=C2)S(=O)(=O)C)C"
6398905,"C1CCC(CC1)NC(=O)C(=C2C=CC=CN2)N=O"
647476,"CC1=NC2=NC=NN2C(=C1CC3=CC=CC=C3)N4CCC(CC4)C(=O)NCC5CCCO5"
648051,"CCOC(=O)C1=CC2=C(N1CC(=O)C3=CC4=C(C=C3)OCCO4)C=CS2"
5389092,"CCC(=C1C(=O)N(C(=O)N(C1=O)C)C)NC2=CC=CC=C2NC(=O)C"
658822,"CCC1=CC(=C(S1)NC(=O)C2CC2)C(=O)OCC"
614956,"CCOC(=O)C1=C(N(C(=O)NC1C2=CC=CC=C2)CCO)C"
659051,"CC(C)(C)NC(=O)CSC1=NC(=O)C=C(N1C2=CC=CC=C2OC)O"
659060,"CCCC1=C2COC(CC2=C(C(=N1)NC3CCCCC3)C#N)(C)C"
5389112,"COC(=O)C1=C(C2=CC=CC=C2N1)NC(=O)CN3CCN(CC3)CC=CC4=CC=CC=C4"
5389114,"CC1=C(C(=C2C=CC(=O)C=C2O)NN1)OC3=CC=CC=C3"
659196,"CC1=CC2=C(C=C1)N3CCC(=O)NC3(C2(C)C)C"
659206,"C1CC(=O)N(C1)CCCN2C=NC3=C(C2=O)NC4=C3C=C(C=C4)F"
6603546,"CC1=CC2=C(C=C1)N(C(=O)C2CCN)CC3=CC=CC=C3.Cl"
660059,"C1=CC=C(C=C1)CN2C=NC3=C2C(=O)N=C(N3)NCCCCCC(=O)O"
660068,"CC1=C2C(=NN1)OC(=C(C23CCOCC3)C#N)N"
660382,"C1CN(CCN1CC(=O)N2CCN(CC2)C3=CC=CC=C3)C4=CC=CC=C4"
660417,"CCCC1=C2C(C(=C(OC2=NN1)N)C#N)C3=C(C=CC(=C3)OC)F"
660490,"CN1CCC2=C(C1)SC3=C2C(=O)NC(N3)C4=CC=CS4"
660663,"CCOC(=O)C1=C(N(C2=C1C(=C(C=C2)O)S(=O)(=O)C3=CC=CC=C3)C)C"
660808,"CCCSC1=NN=C(S1)NC(=O)NC2=CC=CC=C2"
660879,"CC1=C(C=CC(=C1)OCC(=O)NN2C=NN=C2)Br"
660919,"CCN(CC)CCCNC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13"
661010,"C1=CC(=CN=C1)C(=O)OCC(=O)C2=CC=C(C=C2)Cl"
661364,"C1CN(CCN1CCNC(=O)C2=CC(=CC=C2)Br)C3=CC=CC=C3"
5389330,"COC1=CC=CC(=C2NC3=CC=CC=C3C(=N2)N4CCN(CC4)CC5=CC=CC=C5)C1=O"
661668,"CCOC(=O)C1=C(OC(=C(C12C3=CC=CC=C3N(C2=O)CC(=O)N)C(=O)OCC)N)C"
5389345,"CCN(CC)CCN1C(C(=C(C2=CC=C(C=C2)Cl)O)C(=O)C1=O)C3=CC=NC=C3"
614397,"C1C(CN(C1=O)CC2=CC=CS2)C(=O)O"
663246,"COC1=CC=C(C=C1)CNC(=O)C2=CC3=C(N=C4C=CC=CN4C3=O)N(C2=N)CC5=CN=CC=C5"
663258,"CCN(CC)CC1=C(C=CC(=C1)C(=O)C)OCC(C)C"
663270,"COC1=CC=CC=C1C2=NN3C(=NN=C3S2)C4=CC=CO4"
663297,"CCC1=C2C(=CC(=C1)N3CCOCC3)C4=CC=CC=C4N2"
663341,"COC1=CC(=C(C=C1C2=NN3C(=NN=C3S2)C4CCCCC4)OC)OC"
6602708,"CCC(C)C(C1=NN=C(O1)SCC2=CC(=CC=C2)F)N.Cl"
207081,"C1CN2CCC1C(C2)OC(=O)C3C4=CC=CC=C4OC5=CC=CC=C35.Cl"
5389714,"COCC(=O)NC1=NC2=NC(CC(N2N1)C3=CC=CC=C3Cl)C4=CC=C(C=C4)OC"
5389716,"CCOC1=CC=C(C=C1)C2C(=C(C3=C(NC(=C3C)C(=O)OC)C)O)C(=O)C(=O)N2CCN(C)C"
663625,"CC(C(=O)O)NC(=O)C1CCN(CC1)C(=O)C(CCSC)NC(=O)OC(C)(C)C"
663631,"CCCCCOC1=CC=C(C=C1)C(=O)N(CC2=CC=CO2)C3CCS(=O)(=O)C3"
663650,"CC(C)CC(C(=O)O)NC(=O)NC(C)C"
5389740,"CCCN1C2=CC=CC=C2C3(C1=O)C(=C(C4=CC5=C(C=C4)OCCO5)O)C(=O)C(=O)N3CCCOC"
663743,"CC(C)C(C1=NN=C(O1)S(=O)(=O)CC2=C(C=CC=C2Cl)F)NC(=O)OC(C)(C)C"
663803,"CN1CCC2=C(C1)SC3=C2C(=NC(=N3)SC)SCC(=O)NCC4=CC=CO4"
1084959,"CC1=CC(=CC=C1)NC2=NC3=C(N2CC=C(C)Cl)C(=O)N(C(=O)N3C)C"
663862,"CC1CCN(CC1)C(=O)CCC(=O)NC2=NN=C(S2)C"
663905,"CC1=NC2=C(C(=N1)SCC(=O)N3CCCC4=CC=CC=C43)OC5=CC=CC=C52"
663929,"CC1=CC=CC2=C1NC(=O)C(=C2)COC(=O)CC3=CC=C(C=C3)OC"
663971,"CCCCCN1C2=C(N=C1SC3=NC4=CC=CC=C4S3)N(C(=O)NC2=O)C"
664006,"C1CS(=O)(=O)CC1N(CC2=CC=CO2)C(=O)COC3=CC=CC=C3"
664064,"CCOC1=CC=C(C=C1)C2=C3C(C(=C(OC3=NN2)N)C#N)C4=CC=C(C=C4)O"
5389784,"C1CCC(C1)N2CC34C=CC(O3)C(C4C2=O)C(=O)O"
664309,"CC(C)NC1=C(N=C(O1)CC2=CC=CC3=CC=CC=C32)C#N"
664699,"C1=CC=C(C=C1)C(=O)C2=COC3=C2C(=C(C=C3)O)Cl"
664735,"CCOCCCN1C2=C(C=C(C1=NC(=O)C3=CN=CC=C3)C(=O)OCC)C(=O)N4C=CC=CC4=N2"
6603212,"C1CC2=C(C1)N(C3=C(C2=N)CCC3)CC4=CC=C(C=C4)Cl.Cl"
666431,"CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)CN3CCC4=CC=CC=C4C3)CC5=CC=C(C=C5)F"
667330,"CC(C)C1=C2COC(CC2=C3C4=C(C(=NC=N4)NCC5=CC=CC=N5)OC3=N1)(C)C"
2892520,"COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=CC=C3CC=C)O.Cl"
5634955,"COC1=CC=CC=C1C2=NN=C(N2C3CCCCC3)SCC(=O)C(=C4NC5=CC=CC=C5N4)C#N"
1950083,"COCCN(CCOC)C(=O)C1=CC2=C(S1)C3=CC=CC=C3S2"
2322493,"CCNC1=C(C=C(C=C1)C(=O)OCC)NC(=O)C2=CC(=CC=C2)N(C)C"
2312882,"C1=CC=C(C=C1)C2=CSC(=N2)C(=C3SC=CS3)C#N"
2997747,"C1CC2CC(CC(C1)C2=O)C(=O)NC3=CC=CC=C3"
5742460,"CCC1=CC2=C(S1)N=C(N(C2=O)CC=C)SCC(=O)C(=C(C)N)C#N"
6603407,"COC1=C(C=C(C=C1)C2=CN3C=C(C=CC3=N2)Cl)OC.Br"
2336424,"CC1=CC(=C(C=C1)C)SCC(=O)OCC(=O)C2=CC=CO2"
781510,"CC1=C(C(=O)N=C(N1CC2=CC=CC=C2)C)C3=CC=CC=C3"
5742476,"CC1=CC=C(C=C1)C2=CSC(=C(C#N)C(=O)CN3CCN(CC3)C(=O)C4=CC=CO4)N2"
1389785,"C1CN(CCC1C(=O)N)C(=O)N2C3=CC=CC=C3SC4=CC=CC=C42"
2998053,"CC1=C(N2C=CC=CC2=N1)P(=NC3=CC=CC=C3)(N(C)C)N(C)C"
2336926,"C1=CC=C(C=C1)C2=CN=C(N2)SCC(=O)N"
2310667,"CC(C)N1CC(=O)C(=C1N)C2=NC3=CC=CC=C3N2"
5742485,"C1=CC=C2C(=C1)NC3=C4C=CC=CC4=NC(N23)C5=CC=CO5"
2306765,"CCCC1=CC=C(C=C1)OCCNC(=O)C"
2310181,"CCOC(=O)C1=C(N(N=C1)C2=C(C(=C(S2)C(=O)OCC)C)C(=O)OCC)N"
6603271,"CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NCC3=NC4=CC=CC=C4N3.Cl"
2306089,"CC1(C2=CC=CC=C2N(C1=CP(=O)(N(C)C)N(C)C)C)C"
929393,"COC1=CC=C(C=C1)N(C2=NCCC2)C(=O)NC3=CC=C(C=C3)Cl"
2998428,"CN(C)C1=CC=C(C=C1)P(=S)(C2=NC=CN2C=C)C3=NC=CN3C=C"
2998502,"C1CC2=C(C1)C=C(C=C2)NC(=O)C3COC4=CC=CC=C4O3"
2998505,"CCN=C1N(C(=O)C(S1)CC(=O)NC2=CC=CC=C2)CC"
